id,skill,payrate,marketrate,location,role,companyrate,billrate
11,"[""Cloud Platforms (AWS, Azure, GCP)"", ""Solution Architecture"", ""Infrastructure as Code (Terraform, CloudFormation)"", ""Networking"", ""Security Best Practices"", ""System Design"", ""Scalability"", ""Disaster Recovery"", ""Cost Management"", ""Containers (Docker, Kubernetes)"", ""Serverless Architectures"", ""CI/CD Pipelines"", ""Automation"", ""Monitoring and Logging"", ""Performance Optimization"", ""Multi-Cloud Strategy"", ""Compliance""]",25,25,IND,Cloud Architect,39,55
12,"[""Expertise in Cloud Platforms (AWS, Azure, GCP)"", ""Solution Architecture"", ""Infrastructure as Code (Terraform, CloudFormation)"", ""Networking"", ""Security Best Practices"", ""System Design"", ""Scalability"", ""Disaster Recovery"", ""Cost Management"", ""Containers (Docker, Kubernetes)"", ""Serverless Architectures"", ""CI/CD Pipelines"", ""Automation"", ""Monitoring and Logging"", ""Performance Optimization"", ""Multi-Cloud Strategy"", ""Compliance"", ""Mentorship"", ""Technical Leadership""]",31,31,IND,Cloud SME,49,70
13,"[""User Experience Design"", ""Front-End Development"", ""Interaction Design"", ""Prototyping"", ""HTML/CSS"", ""JavaScript"", ""Usability Testing"", ""Responsive Design"", ""Visual Design"", ""Information Architecture"", ""Accessibility (a11y)"", ""User Research"", ""Wireframing"", ""Design Systems"", ""Performance Optimization""]",58.33,58.33,LATAM,UX Engineer,75.83,130
14,"[""Information Architecture"", ""User Experience Design"", ""User Research"", ""Wireframing"", ""Prototyping"", ""Interaction Design"", ""Usability Testing"", ""Heuristic Evaluation"", ""Personas and Scenarios"", ""User Flows and Journey Mapping"", ""Visual Design"", ""Content Strategy"", ""Accessibility (a11y)"", ""User-Centered Design"", ""Design Thinking""]",65.06,65.06,LATAM,UX Architect,84.58,145
15,"[""User Experience Design"", ""User Research"", ""Usability Testing"", ""Interaction Design"", ""Prototyping"", ""Information Architecture"", ""Heuristic Evaluation"", ""Personas and Scenarios"", ""User Flows and Journey Mapping"", ""Accessibility (a11y)"", ""Design Thinking"", ""Visual Design"", ""Content Strategy"", ""Stakeholder Management"", ""User-Centered Design""]",69.55,69.55,LATAM,UX SME,90.42,155
16,"[""JavaScript"", ""React.js"", ""Node.js"", ""HTML"", ""CSS"", ""RESTful APIs"", ""SQL"", ""NoSQL"", ""Version Control/Git"", ""Unit Testing"", ""Integration Testing"", ""CI/CD"", ""Docker"", ""Kubernetes"", ""Microservices""]",40,40,LATAM,Fullstack Engineer,63,90
17,"[""Software Architecture"", ""System Design"", ""JavaScript"", ""React.js"", ""Node.js"", ""HTML"", ""CSS"", ""RESTful APIs"", ""GraphQL"", ""SQL"", ""NoSQL"", ""Microservices"", ""Cloud Services (AWS, Azure, GCP)"", ""DevOps"", ""CI/CD"", ""Docker"", ""Kubernetes"", ""Security Best Practices""]",52,52,LATAM,Fullstack Architect,81,115
18,"[""Deep Expertise in JavaScript"", ""React.js"", ""Node.js"", ""HTML"", ""CSS"", ""RESTful APIs"", ""GraphQL"", ""SQL"", ""NoSQL"", ""Microservices"", ""Cloud Services (AWS, Azure, GCP)"", ""Software Architecture"", ""System Design"", ""Performance Optimization"", ""Security Best Practices"", ""Mentorship"", ""Technical Leadership""]",61,61,LATAM,Fullstack SME,95,135
19,"[""Python"", ""SQL"", ""ETL Processes"", ""Data Warehousing"", ""Big Data Technologies (Hadoop, Spark)"", ""Cloud Platforms (AWS, Azure, GCP)"", ""Data Modeling"", ""Data Pipelines"", ""APIs"", ""Version Control/Git"", ""Airflow"", ""Docker"", ""Kubernetes"", ""NoSQL Databases"", ""Data Cleaning""]",45,45,LATAM,Data Engineer,70,100
20,"[""Data Architecture"", ""Data Modeling"", ""Database Design"", ""SQL"", ""NoSQL Databases"", ""Big Data Technologies (Hadoop, Spark)"", ""Cloud Platforms (AWS, Azure, GCP)"", ""ETL Processes"", ""Data Warehousing"", ""Data Governance"", ""Data Security"", ""Performance Tuning"", ""APIs"", ""Version Control/Git"", ""Data Integration"", ""Business Intelligence Tools""]",56,56,LATAM,Data Architect,88,125
21,"[""Expertise in Data Engineering"", ""Data Architecture"", ""Data Modeling"", ""Big Data Technologies (Hadoop, Spark)"", ""Cloud Platforms (AWS, Azure, GCP)"", ""SQL"", ""NoSQL Databases"", ""ETL Processes"", ""Data Warehousing"", ""Data Governance"", ""Data Security"", ""Performance Optimization"", ""Data Quality"", ""Data Integration"", ""Business Intelligence Tools"", ""Mentorship"", ""Technical Leadership""]",67,67,LATAM,Data SME,105,150
22,"[""Cloud Platforms (AWS, Azure, GCP)"", ""Infrastructure as Code (Terraform, CloudFormation)"", ""Networking"", ""Linux/Unix Administration"", ""Scripting (Python, Bash)"", ""CI/CD Pipelines"", ""Monitoring and Logging"", ""Security Best Practices"", ""Containers (Docker, Kubernetes)"", ""Serverless Computing"", ""Cost Management"", ""Load Balancing"", ""Automation"", ""Version Control/Git"", ""Troubleshooting""]",40,40,LATAM,Cloud Engineer,63,90
23,"[""Cloud Platforms (AWS, Azure, GCP)"", ""Solution Architecture"", ""Infrastructure as Code (Terraform, CloudFormation)"", ""Networking"", ""Security Best Practices"", ""System Design"", ""Scalability"", ""Disaster Recovery"", ""Cost Management"", ""Containers (Docker, Kubernetes)"", ""Serverless Architectures"", ""CI/CD Pipelines"", ""Automation"", ""Monitoring and Logging"", ""Performance Optimization"", ""Multi-Cloud Strategy"", ""Compliance""]",52,52,LATAM,Cloud Architect,81,115
24,"[""Expertise in Cloud Platforms (AWS, Azure, GCP)"", ""Solution Architecture"", ""Infrastructure as Code (Terraform, CloudFormation)"", ""Networking"", ""Security Best Practices"", ""System Design"", ""Scalability"", ""Disaster Recovery"", ""Cost Management"", ""Containers (Docker, Kubernetes)"", ""Serverless Architectures"", ""CI/CD Pipelines"", ""Automation"", ""Monitoring and Logging"", ""Performance Optimization"", ""Multi-Cloud Strategy"", ""Compliance"", ""Mentorship"", ""Technical Leadership""]",56,56,LATAM,Cloud SME,88,125
25,"[""Project Management Software (JIRA, Trello, Asana)"", ""Agile Methodologies (Scrum, Kanban)"", ""Risk Management"", ""Stakeholder Management"", ""Scheduling and Planning"", ""Resource Management"", ""Budgeting"", ""Change Management"", ""Communication Skills"", ""Team Collaboration"", ""Problem-Solving"", ""Documentation"", ""Quality Assurance"", ""Conflict Resolution"", ""Reporting and Analytics"", ""Process Improvement"", ""Meeting Facilitation""]",69.55,69.55,LATAM,Product Manager,90.42,155
28,"[""User Experience Design"", ""Front-End Development"", ""Interaction Design"", ""Prototyping"", ""HTML/CSS"", ""JavaScript"", ""Usability Testing"", ""Responsive Design"", ""Visual Design"", ""Information Architecture"", ""Accessibility (a11y)"", ""User Research"", ""Wireframing"", ""Design Systems"", ""Performance Optimization""]",67,67,USA,UX Engineer,105,150
29,"[""Information Architecture"", ""User Experience Design"", ""User Research"", ""Wireframing"", ""Prototyping"", ""Interaction Design"", ""Usability Testing"", ""Heuristic Evaluation"", ""Personas and Scenarios"", ""User Flows and Journey Mapping"", ""Visual Design"", ""Content Strategy"", ""Accessibility (a11y)"", ""User-Centered Design"", ""Design Thinking""]",101,101,USA,UX Architect,158,225
30,"[""User Experience Design"", ""User Research"", ""Usability Testing"", ""Interaction Design"", ""Prototyping"", ""Information Architecture"", ""Heuristic Evaluation"", ""Personas and Scenarios"", ""User Flows and Journey Mapping"", ""Accessibility (a11y)"", ""Design Thinking"", ""Visual Design"", ""Content Strategy"", ""Stakeholder Management"", ""User-Centered Design""]",112,112,USA,UX SME,175,250
31,"[""JavaScript"", ""React.js"", ""Node.js"", ""HTML"", ""CSS"", ""RESTful APIs"", ""SQL"", ""NoSQL"", ""Version Control/Git"", ""Unit Testing"", ""Integration Testing"", ""CI/CD"", ""Docker"", ""Kubernetes"", ""Microservices""]",67,67,USA,Fullstack Engineer,105,150
32,"[""Software Architecture"", ""System Design"", ""JavaScript"", ""React.js"", ""Node.js"", ""HTML"", ""CSS"", ""RESTful APIs"", ""GraphQL"", ""SQL"", ""NoSQL"", ""Microservices"", ""Cloud Services (AWS, Azure, GCP)"", ""DevOps"", ""CI/CD"", ""Docker"", ""Kubernetes"", ""Security Best Practices""]",79,79,USA,Fullstack Architect,123,175
33,"[""Deep Expertise in JavaScript"", ""React.js"", ""Node.js"", ""HTML"", ""CSS"", ""RESTful APIs"", ""GraphQL"", ""SQL"", ""NoSQL"", ""Microservices"", ""Cloud Services (AWS, Azure, GCP)"", ""Software Architecture"", ""System Design"", ""Performance Optimization"", ""Security Best Practices"", ""Mentorship"", ""Technical Leadership""]",101,101,USA,Fullstack SME,158,225
34,"[""Python"", ""SQL"", ""ETL Processes"", ""Data Warehousing"", ""Big Data Technologies (Hadoop, Spark)"", ""Cloud Platforms (AWS, Azure, GCP)"", ""Data Modeling"", ""Data Pipelines"", ""APIs"", ""Version Control/Git"", ""Airflow"", ""Docker"", ""Kubernetes"", ""NoSQL Databases"", ""Data Cleaning""]",67,67,USA,Data Engineer,105,150
35,"[""Data Architecture"", ""Data Modeling"", ""Database Design"", ""SQL"", ""NoSQL Databases"", ""Big Data Technologies (Hadoop, Spark)"", ""Cloud Platforms (AWS, Azure, GCP)"", ""ETL Processes"", ""Data Warehousing"", ""Data Governance"", ""Data Security"", ""Performance Tuning"", ""APIs"", ""Version Control/Git"", ""Data Integration"", ""Business Intelligence Tools""]",79,79,USA,Data Architect,123,175
36,"[""Expertise in Data Engineering"", ""Data Architecture"", ""Data Modeling"", ""Big Data Technologies (Hadoop, Spark)"", ""Cloud Platforms (AWS, Azure, GCP)"", ""SQL"", ""NoSQL Databases"", ""ETL Processes"", ""Data Warehousing"", ""Data Governance"", ""Data Security"", ""Performance Optimization"", ""Data Quality"", ""Data Integration"", ""Business Intelligence Tools"", ""Mentorship"", ""Technical Leadership""]",101,101,USA,Data SME,158,225
37,"[""Cloud Platforms (AWS, Azure, GCP)"", ""Infrastructure as Code (Terraform, CloudFormation)"", ""Networking"", ""Linux/Unix Administration"", ""Scripting (Python, Bash)"", ""CI/CD Pipelines"", ""Monitoring and Logging"", ""Security Best Practices"", ""Containers (Docker, Kubernetes)"", ""Serverless Computing"", ""Cost Management"", ""Load Balancing"", ""Automation"", ""Version Control/Git"", ""Troubleshooting""]",61,61,USA,Cloud Engineer,95,135
38,"[""Cloud Platforms (AWS, Azure, GCP)"", ""Solution Architecture"", ""Infrastructure as Code (Terraform, CloudFormation)"", ""Networking"", ""Security Best Practices"", ""System Design"", ""Scalability"", ""Disaster Recovery"", ""Cost Management"", ""Containers (Docker, Kubernetes)"", ""Serverless Architectures"", ""CI/CD Pipelines"", ""Automation"", ""Monitoring and Logging"", ""Performance Optimization"", ""Multi-Cloud Strategy"", ""Compliance""]",79,79,USA,Cloud Architect,123,175
39,"[""Expertise in Cloud Platforms (AWS, Azure, GCP)"", ""Solution Architecture"", ""Infrastructure as Code (Terraform, CloudFormation)"", ""Networking"", ""Security Best Practices"", ""System Design"", ""Scalability"", ""Disaster Recovery"", ""Cost Management"", ""Containers (Docker, Kubernetes)"", ""Serverless Architectures"", ""CI/CD Pipelines"", ""Automation"", ""Monitoring and Logging"", ""Performance Optimization"", ""Multi-Cloud Strategy"", ""Compliance"", ""Mentorship"", ""Technical Leadership""]",101,101,USA,Cloud SME,158,225
